""	"protein"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"significant"	"mean_mouse"	"mean_naked mole rat"	"ngood_mouse"	"ngood_naked mole rat"
"62"	"A2AJ15"	0.425385953557298	25.13006159525	1.1716516203252	0.299195493810272	0.428975381141965	-5.91120675849769	FALSE	25.0237151068607	25.449101060418	3	1
"63"	"A2AJ88"	NA	23.9646611786093	NA	NA	NA	NA	NA	23.9646611786093	NA	3	0
"64"	"A2AJI0"	-2.25218405377095	25.2613288354707	-4.042714492201	0.00567560485880912	0.027942168545166	-2.33084221857329	TRUE	26.3874208623561	24.1352368085852	3	3
"65"	"A2AJN7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"66"	"A2AJQ3"	NA	26.0771131466396	NA	NA	NA	NA	NA	26.0771131466396	NA	1	0
"67"	"A2AJT4"	NA	25.3180134907678	NA	NA	NA	NA	NA	25.3180134907678	NA	3	0
"68"	"A2AJW4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"69"	"A2AK44;A2AK42;Q8C5N3"	-2.30442849878093	23.5562990776097	-3.22726251758551	0.0201422794010579	0.0658748023836921	-3.46789947360534	FALSE	24.4780704771221	22.1736419783411	3	2
"70"	"A2AKG8"	-3.10423531617549	25.5693786798121	-2.04943282445478	0.101491986560451	0.200630134414861	-4.858124510315	FALSE	26.345437508856	23.2412021926805	3	1
"71"	"A2ALU4"	2.47353129143321	25.1317161793909	3.6532623397234	0.0122924129236249	0.0470996558452312	-2.93491131820088	TRUE	24.1423036628176	26.6158349542508	3	2
"72"	"A2ALW5"	NA	27.0894121584888	NA	NA	NA	NA	NA	27.0894121584888	NA	3	0
"73"	"A2ALW5;G3UZK1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"74"	"A2AMM0"	NA	26.8118681748961	NA	NA	NA	NA	NA	26.8118681748961	NA	3	0
"75"	"A2AN08"	0.166728248675381	27.0808148260771	0.703869483554854	0.505812197284745	0.625893999885222	-6.69817283563569	FALSE	26.9974507017394	27.1641789504148	3	3
"76"	"A2ANY6"	-1.04520053474939	24.5488069263947	-1.73546315296893	0.129284132420366	0.237631341915996	-5.55796889634707	FALSE	25.0714071937694	24.02620665902	3	3
"77"	"A2APV2"	NA	23.9412850688622	NA	NA	NA	NA	NA	23.9412850688622	NA	3	0
"78"	"A2APV2;Q6ZPF4"	0.871393828444471	25.5540010464728	2.49170287137126	0.0503880611167275	0.122778532328708	-4.44193691384396	FALSE	25.0311647494061	25.9025585778506	2	3
"79"	"A2APY7"	NA	25.6532564696285	NA	NA	NA	NA	NA	25.6532564696285	NA	3	0
"80"	"A2AQ19"	0.0608284128115615	25.2333866612123	0.197681705350009	0.850352425679457	0.906444824528837	-6.8377887191273	FALSE	25.1968896135253	25.2577180263369	2	3
"81"	"A2AQ25"	1.81753793178047	23.4563100906022	1.07784341095459	0.349103902757212	0.481457698377412	-5.94087361009108	FALSE	22.850464113342	24.6680020451225	2	1
"82"	"A2AR02"	0.049097731574083	26.4100497983859	0.18274989707489	0.860533754738508	0.91460641365484	-6.95198308587317	FALSE	26.3855009325988	26.4345986641729	3	3
"83"	"A2ARA8"	NA	26.0543012537671	NA	NA	NA	NA	NA	26.0543012537671	NA	3	0
"84"	"A2ASQ1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"85"	"A2ASS6"	-0.677168209741115	27.9447645685946	-0.666873437914015	0.527687677480543	0.645756825912569	-6.7251949241655	FALSE	28.2833486734652	27.6061804637241	3	3
"86"	"A2AT37"	-0.49703286223546	25.0589771511851	-1.60635136243265	0.155270957742179	0.271540980743561	-5.7300659540359	FALSE	25.3074935823028	24.8104607200674	3	3
"87"	"A2AVA0"	NA	25.0652989876564	NA	NA	NA	NA	NA	NA	25.0652989876564	0	3
"88"	"A2AWA9"	0.414480304669415	27.4012477111034	1.01838492826631	0.344708738357245	0.478095419897729	-6.42123025841124	FALSE	27.1940075587687	27.6084878634381	3	3
"89"	"A2AWA9;A6H6A9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"90"	"A2BDX3"	NA	25.326894513172	NA	NA	NA	NA	NA	25.326894513172	NA	3	0
"91"	"A2BE28"	-0.778977327379855	25.3969576639607	-1.76493021521671	0.132165594832005	0.241498041502618	-5.42145647511306	FALSE	25.7085485949126	24.9295712675328	3	2
"92"	"A2BH40"	-0.956211260926565	24.0627253273492	-2.1690258658277	0.0694626404607856	0.154940795008074	-4.95135618150353	FALSE	24.5408309578124	23.5846196968859	3	3
"93"	"A2BH40;E9Q4N7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"94"	"A2CG49"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"95"	"A2RSJ4"	NA	25.1641430648708	NA	NA	NA	NA	NA	25.1641430648708	NA	3	0
"96"	"A2RSY1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"97"	"A2RSY6"	-1.73325778686952	22.6637851014524	-1.63436643003246	0.16907140897755	0.289237864945065	-5.50973495075981	FALSE	23.5304139948872	21.7971562080176	2	2
"98"	"A2RTL5"	-1.3544029635824	25.0547949676988	-2.34611754748936	0.116607318360254	0.220579640083562	-4.48551132084195	FALSE	25.73199644949	24.3775934859076	1	1
"99"	"A3KFM7"	NA	24.7542667824413	NA	NA	NA	NA	NA	24.7542667824413	NA	2	0
"100"	"A3KGB4"	NA	26.7564396644701	NA	NA	NA	NA	NA	26.7564396644701	NA	3	0
"101"	"A3KGB4;Q9Z1A9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"102"	"A3KGW5"	NA	25.8649884841581	NA	NA	NA	NA	NA	25.8649884841581	NA	3	0
"103"	"A3KMP2"	NA	24.8383652446275	NA	NA	NA	NA	NA	24.8383652446275	NA	3	0
"104"	"A6H5Z3"	0.932147875492429	25.7190292584182	3.07048243959864	0.0196774718622082	0.0648014925644084	-3.65299195969466	FALSE	25.2529553206719	26.1851031961644	3	3
